Check #,Check Name,Check Description,Error Level,Check Type,NCD
117,Control Approach First Inventory Year Range,The year reported should be between 1900 to 2050.,Critical,Range,no
118,Control Approach Last Inventory Year Range,The year reported should be between 1900 to 2050.,Critical,Range,no
119,Control Approach First and Last Inventory Year Comparison,First inventory year must be a value prior or equal to last inventory year.,Critical,Range,no
120,Control Approach Minimum Measures Present,Each Control Approach component must be associated with at least one control measure. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
121,Control Approach Minimum Pollutants Present,Each Control Approach component must be associated with at least one control pollutant. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
122,Control Measure Code Valid,Must match value in code list.,Critical,Code,no
124,Controlled Pollutant Code Valid,Must match value in code list.,Critical,Code,no
125,Percent Control Measures Reduction Efficiency Range,Should be greater than or equal to 5 and less than or equal to 99.999,Critical,Range,no
127,Duplication of XML elements,An XML element or XML attribute cannot be reported twice within a complex type.  This results in ambiguous identification of information.,Critical,Cardinality,no
128,Duplication of Complex Data Types,A complex type cannot be reported more than once containing duplicate identifiers.  This results in contradictory or inconsistent information being reported.,Critical,Cardinality,no
133,Emissions Creation Date Data Type,The CreationTime in the Exchange Network Header must be in xsd:datetime format.  YYYY-MM-DDTHH:MM:SS ,Critical,Format,no
134,NAICS Code Present,The NAICS code is required when reporting the facility site component for adding a new location. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
135,Facility Name Present,The name of the facility site is required when reporting the facility site component for adding a new location. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
136,Facility Site Address Present,The facility site address is required is required when the facility site component is reported for adding a new facility site. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
137,Geographic Coordinates Present for Facility Sites,Reporting geographic coordinates is required when the location component is reported for adding a new location. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
143,Facility Site Identification Code Cardinality,The point location block must contain one combination of Tribal Code; State and County FIPS Code; or State and Country FIPS Code.,Critical,Cardinality,no
144,Acceptable Inventory Year,The reported inventory year in the file submission must be in the list of acceptable years for submission.,Critical,Conditional,no
147,Alternative Name Type Text Present,The alternative name type text is required when reporting the alternative facility name component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
148,Program System Code Present for Alternative Name,A program system code is required when reporting the alternative facility name component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
151,Facility Site Identifer Present for Facility Identification,The facility site identifier is required when reporting the facility identification component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
152,Program System Code Present for Facility Identification,A program system code is required when reporting the facility identification component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
156,Latitude Measure Present,The latitude measure is required when reporting the Geographic Coordinates component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
157,Longitude Measure Present,The longitude measure is required when reporting the Geographic Coordinates component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
167,Identifier Present for  Unit Identification,The identifier is required when reporting the unit identification component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
168,Program System Code Present for Unit Identification,A program system code is required when reporting the unit identification component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
169,Unit Alternate Identification Effective Date Present,The unit alternate identification effective date must be reported to be accepted.,Critical,Present,no
170,Release Point Stack Height Measure Present,"If the release point type code is a stack type, then the release point stack height measure is required. The component and all dependent data will not be stored if there are missing required data.",Critical,Present,no
171,Release Point Stack Diameter Measure Present,"If the release point type code is a stack type, then the release point stack diameter measure is required. The component and all dependent data will not be stored if there are missing required data.",Critical,Present,no
172,Release Point Exit Temperature Measure Present,"If the release point type code is a stack type, then the release point exit gas temperature measure is required. The component and all dependent data will not be stored if there are missing required data.",Critical,Present,no
174,Release Point Exit Gas Flow Rate Measure or  Exit Gas Velocity Required for Stack Release Points,If the release point type code is a stack type then either exit gas velocity or exit gas flow rate is required.,Critical,Conditional,no
182,Facility Site Status Code Present,The facility site status code is required when reporting the facility site component for a new facility site.,Critical,Present,no
183,Address Postal Code Present,The address postal code is required when reporting the address component for adding a new location. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
185,Unit Status Code Present,The unit status code is required when reporting the EmissionsUnit component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
187,SCC Present for Process,A source classification code is required when reporting the emissions process component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
188,Average Percent Emissions Required,The average percent emissions is required.,Critical,Conditional,no
191,Release Point velocity calculated from Flow and Diameter is out of range (0.001 to 1000 FPS),"If Exit Gas Flow Rate and Diameter are submitted, the following formula is used to calculate the release point exit gas velocity measure. Exit Gas Velocity = Flow Rate / Area (assuming a circular stack). If the exit gas velocity is within 0.001-1000 FPS, then the data is considered valid.",Critical,Calculation,no
192,Consistency of Release Point Exit Gas Flow Rate and Velocity,"If all three data elements are reported, the following formula is used to calculate the release point exit gas flow rate measure. If this value and the reported exit gas flow rate are within 5% of each other then the reported data is considered valid. Flow Rate =  {Pi} * (Stack Diameter /2) ^ 2) * Velocity.",Critical,Calculation,no
193,Release Point Stack Diameter Greater than Height,The release point stack diameter should usually be less than the release point stack height measure.,Warning,Calculation,no
194,Release Point Fugitive Height Measure Range,"Should be between 0 to 500, inclusive.",Critical,Range,no
195,Release Point Fugitive Length Measure Range,"Should be between 1 to 10,000; inclusive.",Critical,Range,no
196,Release Point Fugitive Width Measure Range,"Should be between 1 to 10,000; inclusive.",Critical,Range,no
197,Release Point Fugitive Angle Measure Range,"Should be between 0 to 89, inclusive.",Critical,Range,no
199,Design Capacity Range,"Should be between 0.01 to 100,000,000; inclusive.",Critical,Range,no
201,User Identifier Present,The user who generated the XML must be in the exchange header.,Critical,Present,no
202,Program System Code Present,The Program System Code for the user agency who generated the XML must be in the exchange header.,Critical,Present,no
203,Program System Code and User ID combination are valid,The combination of Program System Code and User ID must be valid.,Critical,Conditional,no
212,Facility Company Name Data Type,Maximum allowable width of 80 characters. Longer submissions will be truncated.,Warning,Format,no
213,Facility Site Name Data Type,Maximum allowable width of 80 characters. Longer submissions will be truncated.,Warning,Format,no
214,Facility Site Description Data Type,Maximum allowable width of 100 characters. Longer submissions will be truncated.,Warning,Format,no
215,Facility Site Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
216,Facility Site Status Code Year Data Type,This element must be reported as an integer.,Critical,Format,no
218,Regulation Reported at Multiple Levels,A regulation should only be reported for either the emissions unit or the emissions process but not both for the same emissions unit.,Warning,Cardinality,no
219,Distinct Regulations for Emissions Unit,An active regulation may only be reported once for an emissions unit.,Critical,Cardinality,no
220,Distinct Regulations for Emissions Process,An active regulation may only be reported once for an emissions process.,Critical,Cardinality,no
221,Regulatory Code Present,The regulatory code is required when reporting the regulation component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
224,Control Approach Reported at Multiple Levels,"If a control approach is reported, it must be reported at either the emissions unit or the emissions process but not both for the same emissions unit.",Critical,Cardinality,no
226,Control Group Submission,"The control approach, control pollutants, and control measures must always be submitted together.",Critical,Present,no
227,Control Measure Code Present,Required when reporting the control measure component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
228,Pollutant Code Present,Required when reporting the control pollutant component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
229,Active Identifier per Non-federal Program System Code Cardinality,Only one active Alternate Facility Site Identifier per system code is allowed. The formerly active one has been retired.,Warning,Cardinality,no
232,Program System Code Valid for Alternative Facility Name,Must match value in list of registered codes.,Critical,Code,no
233,Program System Code Valid for Facility Identification,Must match value in list of registered codes.,Critical,Code,no
234,Program System Code Valid for Unit Identification,Must match value in list of registered codes.,Critical,Code,no
236,Percent Control Measures Reduction Efficiency Data Type,This element must be reported as a decimal reported with a maximum precision of 5.1.,Critical,Format,no
239,Control Approach Description Data Type,Maximum allowable width of 200 characters. Longer submissions will be truncated.,Warning,Format,no
240,Percent Control Approach Capture Efficiency Data Type,"This element must be reported as a decimal, reported with a maximum precision of 5.1.",Critical,Format,no
241,Percent Control Approach Effectiveness Data Type,"This element must be reported as a decimal,  reported with a maximum precision of 5.1.",Critical,Format,no
242,First Inventory Year for Control Approach Data Type,This element must be reported as an integer.,Critical,Format,no
243,Last Inventory Year for Control Approach Data Type,This element must be reported as an integer.,Critical,Format,no
244,Control Approach Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
247,Agency Code Text for Regulations Data Type,Maximum allowable width of 100 characters. Longer submissions will be truncated.,Warning,Format,no
248,Regulation Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
249,Average Percent Emissions Data Type,This element must be reported as a decimal.,Critical,Format,no
250,Release Point Apportionment Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
253,Identifier Data Type for Release Point Identification,Maximum allowable width of 20 characters. Longer submissions will be rejected.,Critical,Format,no
254,Release Point Description Data Type,Maximum allowable width of 100 characters. Longer submissions will be truncated.,Warning,Format,no
255,Release Point Stack Height Measure Data Type,This element must be reported as a decimal.,Critical,Format,no
256,Release Point Stack Diameter Measure Data Type,This element must be reported as a decimal.,Critical,Format,no
257,Release Point Exit Gas Velocity Measure Data Type,This element must be reported as a decimal.,Critical,Format,no
258,Release Point Exit Gas Flow Rate Measure Data Type,This element must be reported as a decimal.,Critical,Format,no
259,Release Point Exit Gas Temperature Measure Data Type,This element must be reported as an integer.,Critical,Format,no
261,Release Point Fence Line Distance Measure Data Type,This element must be reported as an integer.,Critical,Format,no
262,Release Point Fugitive Height Measure Data Type,This element must be reported as an integer.,Critical,Format,no
263,Release Point Fugitive Width Measure Data Type,This element must be reported as an integer.,Critical,Format,no
264,Release Point Fugitive Length Measure Data Type,This element must be reported as an integer.,Critical,Format,no
265,Release Point Fugitive Angle Measure Data Type,This element must be reported as an integer.,Critical,Format,no
266,Emission Release Point Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
267,Identifier Data Type for Process Identification,Maximum allowable width of 20 characters. Longer submissions will be rejected.,Critical,Format,no
268,Process Description Data Type,Maximum allowable width of 200 characters. Longer submissions will be truncated.,Warning,Format,no
269,Last Emissions Year for Process Data Type,This element must be reported as an integer.,Critical,Format,no
270,Process Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
271,Identifier Data Type for Unit Identification,Maximum allowable width of 20 characters. Longer submissions will be rejected.,Critical,Format,no
272,Effective Date for Unit Identification Data Type,Date in the format of YYYY-MM-DD.,Critical,Format,no
273,End Date for Unit Identification Data Type,Date in the format of YYYY-MM-DD.,Critical,Format,no
276,Unit Description Data Type,Maximum allowable width of 100 characters. Longer submissions will be truncated.,Warning,Format,no
277,Design Capacity Data Type,This element must be reported as a float.,Critical,Format,no
278,Unit Status Code Year Data Type,This element must be reported as an integer.,Critical,Format,no
279,Unit Operation Date Data Type,Date in the format of YYYY-MM-DD.,Critical,Format,no
280,Emissions Unit Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
281,Latitude Measure Data Type,This element must be reported as a decimal.,Critical,Format,no
282,Longitude Measure Data Type,This element must be reported as a decimal.,Critical,Format,no
283,Source Map Scale Number Data Type,This element must be reported as an integer.,Critical,Format,no
284,Horizontal Accuracy Measure Data Type,This element must be reported as an integer.,Critical,Format,no
285,Data Collection Date Data Type,Date in the format of YYYY-MM-DD.,Critical,Format,no
286,Location Comments Text Data Type,Maximum allowable width of 200 characters. Longer submissions will be truncated.,Warning,Format,no
287,Vertical Measure Data Type,This element must be reported as an integer.,Critical,Format,no
288,Facility Site Identifier Data Type,Maximum allowable width of 20 characters. Longer submissions will be rejected.,Critical,Format,no
289,Effective Date for Facility Identification Data Type,Date in the format of YYYY-MM-DD.,Critical,Format,no
290,End Date for Facility Identification Data Type,Date in the format of YYYY-MM-DD.,Critical,Format,no
291,Alternative Name Data Type,Maximum allowable width of 80 characters.,Critical,Format,no
292,Alternative Name Type Text Data Type,Maximum allowable width of 20 characters. Longer submissions will be truncated.,Warning,Format,no
293,Effective Date for Alternative Facility Name Data Type,Date in the format of YYYY-MM-DD.,Critical,Format,no
294,Location Address Text Data Type,Maximum allowable width of 100 characters. Longer submissions will be truncated.,Warning,Format,no
295,Supplemental Location Text Data Type,Maximum allowable width of 50 characters. Longer submissions will be truncated.,Warning,Format,no
296,Locality Name Data Type,Maximum allowable width of 60 characters. Longer submissions will be truncated.,Warning,Format,no
298,Location Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
299,Alternative Name Present,The alternative name is required when reporting the alternative facility name component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
307,Data Collection Date Range,The data collection date must be between 01/01/1900 to 12/31/2050.,Critical,Range,no
319,EIS Emissions Unit Identifier Matches Facility Site,The reported EIS emissions unit identifier matches in the EIS is associated with the reported facility site.,Critical,Conditional,no
320,EIS Release Point Identifier Matches Facility Site,The reported EIS release pointer identifier matched in the EIS is associated with the reported facility site.,Critical,Conditional,no
321,Release Point Stack Height Measure Range,"Must be between 1 to 1300 FT, inclusive.",Critical,Range,no
329,Release Point Exit Gas Velocity Unit of Measure Code Valid,Must match value in code list.,Critical,Code,no
330,Release Point Exit Gas Flow Rate Unit of Measure Code Valid,Must match value in code list.,Critical,Code,no
353,Reporting Period Type Code Valid,Must match value in code list.,Critical,Code,no
359,5 Month Ozone Season Reporting Period Code Valid,Five Month Ozone Season code can be used only for NOx emissions.,Critical,Conditional,no
360,Summer Day Reporting Period Code Valid,"Summer Day code can be used only for NOx, VOC, or CO emissions.",Critical,Conditional,no
364,Winter Reporting Period Code Valid,Winter code can be used only for carbon monoxide (CO) emissions.,Critical,Conditional,no
366,Emission Operating Type Code Valid,Must match value in code list.,Critical,Code,no
369,End Date for Episodic Reporting Period Data Type,Date in the format YYYY-MM-DD.,Critical,Format,no
371,Start Date for Episodic Reporting Period Range,The start date for an episodic reporting period must be within the inventory year.,Critical,Range,no
379,Start Date for Episodic Reporting Period Data Type,Date in the format YYYY-MM-DD.,Critical,Format,no
380,End Date for Episodic Reporting Period Range,The end date for an episodic reporting period must be within the inventory year.,Critical,Range,no
382,Reporting Period Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
389,Episodic Reporting Date Relative Range,EndDate must occur after StartDate.,Critical,Range,no
394,Calculation Parameter Value Data Type,This element must be reported as a float with a maximum of 6 significant figures.,Critical,Format,no
395,Calculation Parameter Value Range,Must be greater than or equal to zero.,Critical,Range,no
397,Calculation Parameter Unit of Measure Valid,Must match value in code list.,Critical,Code,no
402,Calculation Material Code Present,Required when reporting the reporting period component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
403,Calculation Parameter Type Code Valid,Must match value in code list.,Critical,Code,no
404,Calculation Parameter Type Code Present,Required when reporting the reporting period component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
407,Calculation Data Year Data Type,"This element must be reported as an integer, reported with a maximum of 4 digits.",Critical,Format,no
408,Calculation Data Year Range,Must be between 1900 and 2050.,Critical,Range,no
411,Calculation Data Source Data Type,Maximum allowable width of 100 characters. Longer submissions will be truncated.,Warning,Format,no
415,Actual Hours Per Period Data Type,This element must be reported as an integer.,Critical,Format,no
416,Actual Hours Per Period Range,Must be greater than or equal to 1 and less than or equal to 8784.,Critical,Range,no
417,Average Hours Per Day Data Type,This element must be reported as a decimal.,Critical,Format,no
418,Average Hours Per Day Range,Must be greater than or equal to 0.1 and less than or equal to 24.,Critical,Range,no
419,Average Days Per Week Data Type,This element must be reported as a decimal.,Critical,Format,no
420,Average Days Per Week Range,Must be greater than or equal to 0.1 and less than or equal to 7.,Critical,Range,no
421,Average Weeks Per Period Data Type,This element must be reported as an integer.,Critical,Format,no
422,Average Weeks Per Period Range,Must be greater than or equal to 1 and less than or equal to 52.,Critical,Range,no
423,Percent Winter Activity Data Type,"This element must be reported as a decimal, reported with a maximum precision of  5.1.",Critical,Format,no
424,Percent Winter Activity Range,"Must be a value between zero and 100, inclusive.",Critical,Range,no
425,Percent Spring Activity Data Type,"This element must be reported as a decimal, reported with a maximum precision of  5.1.",Critical,Format,no
426,Percent Spring Activity Range,"Must be a value between zero and 100, inclusive.",Critical,Range,no
427,Percent Summer Activity Data Type,"This element must be reported as a decimal, reported with a maximum precision of  5.1.",Critical,Format,no
429,Percent Summer Activity Range,"Must be value between zero and 100, inclusive.",Critical,Range,no
430,Percent Fall Activity Data Type,"This element must be reported as a decimal, reported with a maximum precision of  5.1.",Critical,Format,no
431,Percent Fall Activity Range,"Must be value between zero and 100, inclusive.",Critical,Range,no
449,Complete Seasonal Percentage Should Be Reported,The seasonal percentages must either all be reported or none be reported.,Critical,Conditional,no
450,Supplemental Calculation Parameter Value Data Type,"This element must be reported as a float, reported with a maximum precision of  5.2.",Critical,Format,no
451,Supplemental Calculation Parameter Value Range,Must be greater than zero.,Critical,Range,no
455,Percent Sulfur Content Range,"If the supplemental calculation parameter type code is percent sulfur content, the value must be between 0.01 and 10, inclusive.",Critical,Range,no
457,Percent Ash Content Range,"If the supplemental calculation parameter type code is percent ash content, the value must be between 0.01 and 30, inclusive.",Critical,Range,no
458,Supplemental Calculation Parameter Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
460,Supplemental Calculation Parameter Accepted for Fuel Combustion SCCs,The Supplemental Calculations Parameter component must be associated with a fuel combustion SCC.,Critical,Conditional,no
470,Pollutant Code Valid,Must match value in code list.,Critical,Code,no
471,Pollutant Code Present for Emissions,Required when reporting the Emissions component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
473,Total Emissions Present,Required when reporting the Emissions component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
474,Total Emissions Critical Range,"Must be inside the critical outlier range when the reporting period type code is ""A"" (Annual).",Warning,Range,no
476,Emissions Unit of Measure Code Valid,Must match value in code list.,Critical,Code,no
477,Emissions Unit of Measure Code Valid,Must be 'CURIE' for pollutant code 605,Critical,Code,no
479,Emissions Unit of Measure Code Present,Required when reporting the Emissions component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
480,Emission Factor Data Type,"This element must be reported as a float, reported with a maximum of  4 significant figures.",Critical,Format,no
482,Emission Factor Numerator Unit of Measure Code Valid,Must match value in code list.,Critical,Code,no
483,Emission Factor Denominator Unit of Measure Code Valid,Must match value in code list.,Critical,Code,no
484,Emission Factor Text Data Type,Maximum allowable width of 100 characters. Longer submissions will be truncated.,Warning,Format,no
485,Emission Calculation Method Code Valid,Must match value in code list.,Critical,Code,no
486,Emission Calculation Method Code Present,Required when reporting the Emissions component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
487,Emissions Comment Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
510,Release Point Stack Diameter Measure Range,"Must be between 0.001 to 300 FT, inclusive.",Critical,Range,no
511,Release Point Exit Gas Temperature Measure Outer Range,"Must be between -30 to 4000 F, inclusive",Critical,Range,no
512,Release Point Exit Gas Velocity Measure Range for FPS for Stacks,"For stacks, release point exit gas velocity measure must be 0.001 to 1000, inclusive, if in FPS",Critical,Range,no
517,Release Point Exit Gas Velocity Measure Range for FPM for Stacks,"If the release point exit gas velocity unit of measure is FPM and the release point type is not fugitive, release point exit gas velocity measure must be 0.060 to 60,000; inclusive.",Critical,Range,no
518,Release Point Exit Gas Flow Rate Measure Range for ACFM for Stacks,"For stacks, release point exit gas flow measure must be 0.00000001 to 12,000,000 ACFM, inclusive",Critical,Range,no
519,Release Point Exit Gas Flow Rate Measure Range for ACFS for Stacks,"For stacks, release point exit gas flow measure must be 0.00000001 to 200,000 ACFS, inclusive",Critical,Range,no
522,Location Type Code for Excluded Location Valid,Must match value in code list.,Critical,Code,no
526,Location Comment for Excluded Location Data Type,Maximum allowable width of 400 characters. Longer submissions will be truncated.,Warning,Format,no
528,Excluded Location Valid,Excluded Location must be a geographical subset of the primary location.,Critical,Present,no
534,Percent Control Measure Penetration Data Type,"This element must be reported as a decimal,  reported with a maximum precision of 5.1.",Critical,Format,no
549,Percent Control Measure Penetration Range,Must be greater or equal to than 1.1 and less than or equal to 100.0.,Critical,Range,no
550,Monthly Reporting Period Value Present,All 12 months should be submitted together.,Warning,Present,no
555,Facility Site Identifier Exists for Point,"To use the facility site identifier and program system code for identification, the facility site identifier and system code combination must exist in the facility inventory.",Critical,Conditional,no
558,Identifier Present for Process Identification,The identifier is required when reporting the process identification component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
559,Agency Process Identifier Uniqueness,The agency process identifier must be unique within the unit.,Critical,Conditional,no
560,Start Date Required for Episodic Reporting Period,"If the reporting period type code is episodic, the start date is required.",Critical,Conditional,no
562,End Date Required for Episodic Reporting Period,"If the reporting period type code is episodic, the end date is required.",Critical,Conditional,no
563,Calculation Parameter Value Present,Required when reporting the reporting period component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
564,Calculation Parameter Unit of Measure Present,Required when reporting the Reporting Period component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
566,Calculation Material Code Valid,Must match value in code list.,Critical,Code,no
567,Complete Seasonal Percentage Range,The seasonal percentages must total 100 +/- 0.5.,Critical,Calculation,no
569,Total Emissions Data Type,"This element must be reported as a float, reported with a maximum of 6 significant figures.",Critical,Format,no
570,Emission Factor Numerator Unit of Measure Conditionally Required,"If the emission factor is reported, then the emission factor numerator unit of measure is required.",Critical,Conditional,no
571,Emission Factor Denominator Unit of Measure Conditionally Required,"If the emission factor is reported, then the emission factor denominator unit of measure is required.",Critical,Conditional,no
577,Census Tract Identifier for Location Valid,Must match value in code list.,Critical,Code,no
578,Shape Identifier for Location Valid,Must match a shapefile identifier that is in the EIS shape library on the EIS Gateway.,Critical,Code,no
592,Latitude Measure Range,Must be greater than or equal to 17 and less than or equal to 71.5.,Critical,Range,no
593,Longitude Measure Range,Must be greater than or equal to -177 and less than or equal to -64.,Critical,Range,no
611,Emission Factor Range,Must be greater than zero.,Critical,Range,no
